Date,Temperature,Bucket_Weather
2016-12-07,11,2
2016-12-08,11,2
2016-12-09,12,2
2016-12-10,12,3
2016-12-11,7,1
2016-12-12,8,2
2016-12-13,11,3
2016-12-14,11,1
2016-12-15,9,2
2016-12-16,10,2
2016-12-17,9,8
2016-12-18,8,2
2016-12-19,6,2
2016-12-20,5,2
2016-12-21,9,2
2016-12-22,6,2
2016-12-23,8,2
2016-12-24,7,2
2016-12-25,10,2
2016-12-26,5,1
2016-12-27,5,1
2016-12-28,5,1
2016-12-29,4,1
2016-12-30,2,8
2016-12-31,6,2
2017-01-01,6,4
2017-01-02,2,1
2017-01-03,2,2
2017-01-04,5,2
2017-01-05,3,1
2017-01-06,3,2
2017-01-07,8,2
2017-01-08,9,2
2017-01-09,7,4
2017-01-10,6,2
2017-01-11,9,2
