Date,Weather,Temperature,Days From Pull
2016-12-07,3,11,0
2016-12-08,8,11,1
2016-12-09,8,9,2
2016-12-10,8,11,3
2016-12-11,1,7,4
2016-12-08,7,11,0
2016-12-09,7,10,1
2016-12-10,12,11,2
2016-12-11,3,7,3
2016-12-12,8,8,4
2016-12-09,7,12,0
2016-12-10,12,11,1
2016-12-11,7,7,2
2016-12-12,7,9,3
2016-12-13,8,8,4
2016-12-10,12,12,0
2016-12-11,1,7,1
2016-12-12,8,6,2
2016-12-13,7,10,3
2016-12-14,8,8,4
2016-12-11,1,7,0
2016-12-12,7,6,1
2016-12-13,12,10,2
2016-12-14,7,10,3
2016-12-15,7,7,4
2016-12-12,8,8,0
2016-12-13,7,11,1
2016-12-14,7,10,2
2016-12-15,8,9,3
2016-12-16,8,9,4
2016-12-13,12,11,0
2016-12-14,1,11,1
2016-12-15,8,9,2
2016-12-16,7,9,3
2016-12-17,7,8,4
2016-12-14,1,11,0
2016-12-15,8,9,1
2016-12-16,8,9,2
2016-12-17,8,6,3
2016-12-18,6,4,4
2016-12-15,7,9,0
2016-12-16,8,9,1
2016-12-17,8,7,2
2016-12-18,8,5,3
2016-12-19,8,6,4
2016-12-16,7,10,0
2016-12-17,8,9,1
2016-12-18,7,6,2
2016-12-19,8,5,3
2016-12-20,8,4,4
2016-12-17,5,9,0
2016-12-18,7,8,1
2016-12-19,8,6,2
2016-12-20,3,4,3
2016-12-21,8,5,4
2016-12-18,7,8,0
2016-12-19,7,7,1
2016-12-20,1,4,2
2016-12-21,7,5,3
2016-12-22,14,5,4
2016-12-19,8,6,0
2016-12-20,3,5,1
2016-12-21,12,7,2
2016-12-22,10,6,3
2016-12-23,7,5,4
2016-12-20,3,5,0
2016-12-21,12,9,1
2016-12-22,3,5,2
2016-12-23,7,5,3
2016-12-24,7,5,4
2016-12-21,7,9,0
2016-12-22,1,6,1
2016-12-23,7,6,2
2016-12-24,7,6,3
2016-12-25,8,10,4
2016-12-22,3,6,0
2016-12-23,7,7,1
2016-12-24,7,6,2
2016-12-25,8,11,3
2016-12-26,1,5,4
2016-12-23,7,8,0
2016-12-24,7,6,1
2016-12-25,8,10,2
2016-12-26,1,4,3
2016-12-27,1,5,4
2016-12-24,7,7,0
2016-12-25,8,11,1
2016-12-26,1,5,2
2016-12-27,1,5,3
2016-12-28,5,3,4
2016-12-25,8,10,0
2016-12-26,1,5,1
2016-12-27,1,5,2
2016-12-28,7,3,3
2016-12-29,7,4,4
2016-12-26,1,5,0
2016-12-27,1,5,1
2016-12-28,1,3,2
2016-12-29,7,4,3
2016-12-30,5,2,4
2016-12-27,1,5,0
2016-12-28,7,3,1
2016-12-29,7,3,2
2016-12-30,8,3,3
2016-12-31,8,6,4
2016-12-28,1,5,0
2016-12-29,3,3,1
2016-12-30,8,4,2
2016-12-31,8,7,3
2017-01-01,12,4,4
2016-12-29,1,4,0
2016-12-30,8,4,1
2016-12-31,8,6,2
2017-01-01,12,5,3
2017-01-02,1,0,4
2016-12-30,5,2,0
2016-12-31,8,7,1
2017-01-01,15,5,2
2017-01-02,1,0,3
2017-01-03,1,1,4
2016-12-31,8,6,0
2017-01-01,12,7,1
2017-01-02,1,1,2
2017-01-03,3,1,3
2017-01-04,7,4,4
2017-01-01,15,6,0
2017-01-02,1,2,1
2017-01-03,3,2,2
2017-01-04,3,5,3
2017-01-05,1,3,4
2017-01-02,1,2,0
2017-01-03,7,2,1
2017-01-04,3,5,2
2017-01-05,1,2,3
2017-01-06,7,3,4
2017-01-03,3,2,0
2017-01-04,7,5,1
2017-01-05,1,2,2
2017-01-06,7,3,3
2017-01-07,8,8,4
2017-01-04,7,5,0
2017-01-05,1,2,1
2017-01-06,7,3,2
2017-01-07,8,9,3
2017-01-08,7,8,4
2017-01-05,1,3,0
2017-01-06,7,3,1
2017-01-07,8,8,2
2017-01-08,8,7,3
2017-01-09,12,7,4
2017-01-06,3,3,0
2017-01-07,8,8,1
2017-01-08,8,6,2
2017-01-09,7,7,3
2017-01-10,3,5,4
2017-01-07,8,8,0
2017-01-08,8,7,1
2017-01-09,12,7,2
2017-01-10,7,5,3
2017-01-11,7,8,4
2017-01-08,7,9,0
2017-01-09,15,7,1
2017-01-10,3,5,2
2017-01-11,7,8,3
2017-01-12,7,1,4
2017-01-09,15,7,0
2017-01-10,7,5,1
2017-01-11,7,8,2
2017-01-12,7,1,3
2017-01-13,7,1,4
2017-01-10,3,6,0
2017-01-11,7,7,1
2017-01-12,15,2,2
2017-01-13,3,0,3
2017-01-14,3,-1,4
2017-01-11,7,9,0
2017-01-12,15,4,1
2017-01-13,3,-1,2
2017-01-14,1,1,3
2017-01-15,10,5,4
