text,date,weather
RT @KenleyHargettjr: IT'S COLD! #Weather #CBS19 https://t.co/9j7DcDOeZv,08/12/2016,yes
"RT @Foolish4Harry: Somewhere on the polar ice cap, a tiny flower is emerging from the frozen tundra because Harry is the literal sun ☀️ htt…",08/12/2016,no
RT @feltman41: APNewsBreak: Fishing groups seek Atlantic wind farm delay (from @AP) https://t.co/fClxe1yc90,08/12/2016,no
@2_chairz this cold? https://t.co/19ElqwlUZd,08/12/2016,no
"RT @lisajariffin: Finally had courage to speak to really hot gym guy. 🔥 Turns out we have loads in common! For example, he likes men too.",08/12/2016,no
#NoFilmsForSingleScreens girls aloud xxx pics hot naked men,08/12/2016,no
Let's go play in the snow at Winter Wonderfest @discoverycubeOC this holiday! #DCOCWinter via @Cleverlycathryn  https://t.co/1dxbQVI6G5,08/12/2016,no
"Rita Ora Performs at HOT 99.5s Jingle Ball 2015 in Washington, D.C. https://t.co/BphQncsfoc #RitaOra",08/12/2016,no
"RT @I_20ve980: アングルからsnowから顔の感じから全て一緒なんだけど笑笑

なにこの変な団結感wwwww

(塚松→大筋)
(水野→前村)
(伊藤→堀)
(高力→一翔!?!?笑) https://t.co/uuUA98dGgQ",08/12/2016,no
RT @JWepp: When McDonalds says their ice cream machine is down https://t.co/vUX81nNlLF,08/12/2016,no
#hot sexy girls ass amateur hd videos https://t.co/SivaMsmbbw,08/12/2016,no
Happy almost winter break! https://t.co/K3zFH7KCrs,08/12/2016,no
RT @BrainOfBlood: More fun in my store with the Hot Wire Foam Cutter. #toys #StarWars https://t.co/UFCp3XYQkt,08/12/2016,no
#Summer #Fashion #FlipFlops by Lee Hiller https://t.co/hY6aeK7Pz4 #Beach #Rockabilly #Art #Space https://t.co/UHDWkmBOjs,08/12/2016,yes
"It's gonna snow all weekend. I'm off all weekend. I want some romance. In my pants.
I want nonstop love: Saturday and Sunday.",08/12/2016,yes
"RT @WiseLearnings: ""This is way too hard, cause I know when the sun comes up I will leave. This is my last glance that will soon be memory""…",08/12/2016,no
Intro to PC Sun Dec. 11th: https://t.co/ghiYjeHpkM via @YouTube,08/12/2016,no
"RT @davidsirota: Modern journalism: 

1) Turn on computer
2) Read Trump tweet
3) Write hot take about tweet
4) Appear on cable TV panel abo…",08/12/2016,no
