text,date,weather
@2_chairz this cold? https://t.co/19ElqwlUZd,08/12/2016,no
#NoFilmsForSingleScreens girls aloud xxx pics hot naked men,08/12/2016,no
Let's go play in the snow at Winter Wonderfest @discoverycubeOC this holiday! #DCOCWinter via @Cleverlycathryn  https://t.co/1dxbQVI6G5,08/12/2016,no
"Rita Ora Performs at HOT 99.5s Jingle Ball 2015 in Washington, D.C. https://t.co/BphQncsfoc #RitaOra",08/12/2016,no
#hot sexy girls ass amateur hd videos https://t.co/SivaMsmbbw,08/12/2016,no
Happy almost winter break! https://t.co/K3zFH7KCrs,08/12/2016,no
#Summer #Fashion #FlipFlops by Lee Hiller https://t.co/hY6aeK7Pz4 #Beach #Rockabilly #Art #Space https://t.co/UHDWkmBOjs,08/12/2016,yes
"It's gonna snow all weekend. I'm off all weekend. I want some romance. In my pants.
I want nonstop love: Saturday and Sunday.",08/12/2016,yes
Intro to PC Sun Dec. 11th: https://t.co/ghiYjeHpkM via @YouTube,08/12/2016,no
There’s snow in them thar hills! Strap ‘em on and go. https://t.co/vUUkH60ooE,08/12/2016,yes
Broomsticks burn in Spanish festival - La Inmaculada Concepción 2016  https://t.co/pu7p1WFsCB,08/12/2016,no
#Peacock #Feather Print #FlipFlopspic.twitter.com/1w8Lt8WN1Z https://t.co/4YPULh3iBk #Fashion #Beach #Summer #Glitter,08/12/2016,yes
But watching Gore's #ClimateHoax meetings and rallies get snowed in or cancelled for snow is comical! https://t.co/R3A9O20Hs7,08/12/2016,no
How to make the cold and dark days less depressing https://t.co/3UAMr3B4YQ,08/12/2016,no
"Retweeted Amy Romine (@AmyJRomine):

Keep me Warm by Jude Ouvrard #Romance #mgtab @MoBPromos @AuthorJude... https://t.co/Ob556G4zQk",08/12/2016,no
This doesn't have to be the case with your next project.  #madewithunity #MobileApp #mobilegaming https://t.co/vUd4L99e1p,08/12/2016,no
Finally! I've been patiently been waiting ALL winter for the temperature to get down 22° here in Indiana❄️ ! I ❤️  the freezing cold!,08/12/2016,yes
#Wind #turbine for a off the grid system https://t.co/aazwZyIRnJ,08/12/2016,no
I hate waking up hot 🙄,08/12/2016,no
#fatsexywomen.com hustler girl hot 812,08/12/2016,no
Bewonder morgen mijn winter essentials op mijn blog - Link altijd in bio ❤️🎄 https://t.co/FcdsO9p9B7 https://t.co/dK94SlaLIZ,08/12/2016,no
Today is the day! Join us at 5pm for the release of WishList and raise $ for @MakeAWish_CWNC! #concordbeer #cltbeer https://t.co/lMl1UXjQ9a,08/12/2016,no
Rain needs to stop from 8-915 am n ill be good,08/12/2016,yes
"my heart is lonely
my soul is cold
i feel frostbites on my bones
i just want to be with you
with every last hours i own",08/12/2016,no
Palermo on ice. Inaugura la pista di pattinaggio al Giardino Inglese https://t.co/ARlVHrIgGt,08/12/2016,no
"CometChat Cloud – Fully Managed Chat Solution

https://t.co/sW6tSDBeeL

#CometChat #CometChatCloud #PHP https://t.co/fa1qh3vUKr",08/12/2016,no
How much snow are you hoping for?,08/12/2016,no
"♫White Winter Hymnal by @fleetfoxes, from #SoundHound https://t.co/ONJN6Di3rR",08/12/2016,no
"""My father said big men fall just as quick as little ones, if you put a sword through their hearts."" -Jon snow",08/12/2016,no
First offshore wind turbine in US breaks before it starts https://t.co/dfoSAmTatA,08/12/2016,no
#streaming porn movies hot girls take bath with sex 646,08/12/2016,no
@ShrewsSchool I take it @turfandy is now preparing top common for ice hockey house leagues in January?,08/12/2016,no
